Customer_ID,Customer_Status,Old_Class,Geographical_ID,CustCreationDate,Net_ Purchase(IRR),Avg_Invoice_Row_No,Waste_Rate,Rejected_Rate,Avg_Purchase_In_Month,Date_Of_Last_ Purchase,Unnamed: 11,Unnamed: 12
100013,Active,C,1,2019-02-03,145660613.5,8.135714286,0.071467041,0.36358805,29,2022-01-29,,
100016,Active,C,4,2019-02-03,199679686.8,6.8,0.09679115,0.132023439,26,2022-01-29,,
100018,Active,C,4,2019-02-03,144181424.8,15.98,0.0,1.138617154,13,2022-01-29,,
100020,Active,A,4,2019-02-03,541716937.4,16.01578947,0.113129527,0.270414324,42,2022-01-29,,
100021,Active,C,4,2019-02-03,181734867.0,8.742857143,0.0,0.140125142,18,2022-02-03,,
100032,Active,C,4,2019-02-03,118901968.1,6.658333333,0.004875018,0.225297424,26,2022-02-02,,
100034,Active,B,4,2019-02-03,140198741.3,6.442105263,0.0,0.028669734,44,2022-01-29,,
100040,Active,B,4,2019-02-03,435322996.9,7.407142857,0.152861249,0.003182188,31,2022-02-03,,
100041,Active,B,4,2019-02-03,125302158.4,5.288888889,0.207027026,0.167546249,18,2022-02-03,,
100042,Active,C,4,2019-02-03,137685146.2,8.075,0.090702568,0.402432968,17,2022-02-03,,
100043,Active,C,4,2019-02-03,180381456.7,5.355,0.031735262,0.0,44,2022-02-03,,
100047,Active,C,4,2019-02-03,235669591.7,6.8,0.974738818,0.173782376,18,2022-01-24,,
100049,Active,C,4,2019-02-03,162529273.3,7.177777778,0.032017913,0.017135862,20,2022-01-24,,
100050,Active,C,4,2019-02-03,58724961.36,3.06,0.0,2.313701528,29,2022-01-25,,
100061,Active,B,4,2019-02-03,542535026.5,12.3,0.017551566,0.167778731,35,2022-01-24,,
100062,Active,C,4,2019-02-03,364186664.0,11.39,0.047007661,0.00097418,24,2022-01-25,,
100064,Active,B,4,2019-02-03,371069163.2,8.67,0.00336387,0.562729498,42,2022-01-29,,
100071,Active,C,4,2019-02-03,405511896.6,7.323076923,0.010629604,0.014371425,27,2022-02-02,,
100072,Active,C,4,2019-02-03,671115286.8,7.8625,0.009254051,0.100517093,18,2022-02-02,,
100076,Active,C,4,2019-02-03,608931652.1,14.365,0.060800824,0.0,44,2022-02-02,,
100077,Active,C,4,2019-02-03,196754462.8,7.744444444,0.002657519,0.404298146,36,2022-02-02,,
100084,Active,C,4,2019-02-03,301065260.8,7.366666667,0.049830864,1.315440133,24,2022-02-02,,
100088,Active,C,4,2019-02-03,409669371.7,7.720833333,0.120213127,0.040409289,54,2022-01-29,,
100091,Active,C,4,2019-02-03,135410937.4,4.0375,0.0,0.187988824,31,2022-01-25,,
100092,Active,C,4,2019-02-03,120522318.5,7.933333333,0.0,0.159139316,15,2022-01-25,,
100104,Active,B,4,2019-02-03,83266343.28,6.29,0.043656437,0.264446956,20,2022-02-03,,
100113,Active,B,4,2019-02-03,2031684112.0,8.257142857,0.002522676,0.006681911,72,2022-02-03,,
100117,Active,B,4,2019-02-03,931431133.6,37.00769231,0.007692597,0.072887707,27,2022-01-31,,
100119,Active,C,4,2019-02-03,298752362.6,6.669230769,0.0,0.147090367,58,2022-02-02,,
100120,Active,C,4,2019-02-03,97765948.56,5.383333333,0.0,0.270208521,22,2022-02-03,,
100122,Active,C,4,2019-02-03,95863101.6,8.311111111,0.13271427,0.041912961,18,2022-02-03,,
100123,Active,C,4,2019-02-03,183713284.6,11.9,0.0,0.570879484,20,2022-02-03,,
100125,Active,C,4,2019-02-03,191822460.2,11.39,0.174327648,0.625850746,20,2022-02-03,,
100129,Active,A,4,2019-02-03,3216919873.0,28.50769231,0.01299957,0.022083969,78,2022-02-02,,
100132,Active,C,4,2019-02-03,107502244.0,4.873333333,0.0,0.013338129,31,2022-01-30,,
100133,Active,B,4,2019-02-03,227482638.4,6.208695652,0.190466228,0.122203664,49,2022-01-30,,
100138,Active,B,4,2019-02-03,254146618.2,7.026666667,0.00275293,0.111514497,31,2022-01-25,,
100141,Active,B,4,2019-02-03,163498307.5,4.533333333,0.0,0.400783192,58,2022-02-02,,
100143,Active,C,4,2019-02-03,129767223.7,5.44,0.039650128,0.0,42,2022-02-02,,
100144,Active,B,4,2019-02-03,380234193.2,7.192307692,0.122628772,0.206638225,51,2022-01-31,,
100146,Active,C,4,2019-02-03,407659045.6,31.45,0.887862418,1.059642088,11,2022-01-30,,
100154,Active,C,4,2019-02-03,46687019.64,3.825,0.0,0.307144751,17,2022-01-30,,
100156,Active,C,4,2019-02-03,1107583199.0,24.27222222,0.036228627,0.036006171,38,2022-02-02,,
100157,Active,A,4,2019-02-03,1299856117.0,9.5625,0.062930314,0.003459163,110,2022-01-25,,
100161,Active,C,4,2019-02-03,127520726.0,8.809090909,0.0,0.48788268,22,2022-02-03,,
100164,Active,C,4,2019-02-03,312676511.9,8.092,0.031158215,0.031971536,51,2022-02-03,,
100174,Active,B,4,2019-02-03,318987045.7,9.215789474,0.112266062,0.318082644,42,2022-02-03,,
100176,Active,B,4,2019-02-03,1685990109.0,11.25238095,0.028924868,0.33373842,44,2022-01-29,,
100182,Active,C,4,2019-02-03,64769157.0,5.78,0.008594953,0.551362165,9,2022-02-03,,
100197,Active,C,4,2019-02-03,441416497.6,11.74545455,0.226781804,0.766846066,44,2022-01-24,,
100207,Active,B,4,2019-02-03,469266496.9,26.35,0.040947744,0.582125899,18,2022-01-30,,
100208,Active,B,4,2019-02-03,772483243.2,9.656,0.009574443,0.185184293,53,2022-01-30,,
100211,Active,A,4,2019-02-03,967472712.4,14.6,0.004189098,0.198747883,65,2022-02-03,,
100213,Active,B,4,2019-02-03,684279017.3,10.09032258,0.0,0.38986015,56,2022-01-24,,
100222,Active,C,4,2019-02-03,82197798.48,8.2875,0.0,0.01218082,18,2022-01-31,,
100225,Active,C,4,2019-02-03,136971554.0,4.563157895,0.0,0.045041928,40,2022-01-25,,
100226,Active,C,4,2019-02-03,2657236208.0,6.071428571,0.004234434,0.005040725,29,2022-02-02,,
100230,Active,B,4,2019-02-03,397104453.6,6.8,0.003363142,0.199234278,58,2022-01-30,,
100231,Active,C,4,2019-02-03,79800645.24,5.1,0.0,0.212179119,17,2022-01-25,,
100239,Active,A,4,2019-02-03,606014193.7,12.37222222,0.09489219,0.031780243,36,2022-02-03,,
100240,Active,B,4,2019-02-03,548355745.7,10.78846154,0.021713924,0.0,54,2022-02-03,,
100244,Active,C,4,2019-02-03,1077506734.0,9.4,0.022305528,0.037036798,33,2022-02-02,,
100247,Active,C,4,2019-02-03,634646121.4,10.625,0.006386976,0.0,27,2022-01-30,,
100249,Active,C,4,2019-02-03,206078089.6,7.253333333,0.0,0.637835411,31,2022-01-30,,
100252,Active,B,4,2019-02-03,341262552.2,7.285714286,0.172399095,0.25931002,45,2022-02-03,,
100254,Active,C,1,2019-02-03,681326417.3,11.7725,0.075224533,0.788532967,83,2022-02-02,,
100260,Active,B,1,2019-02-03,335208534.4,10.38888889,0.00370298,0.679190561,36,2022-02-03,,
100262,Active,A,1,2019-02-03,1277119547.0,22.16296296,0.083854022,0.1145939,56,2022-02-03,,
100265,Active,B,1,2019-02-03,1148843137.0,25.03103448,0.095323147,0.111605604,62,2022-01-29,,
100266,Active,C,1,2019-02-03,1109335101.0,16.67619048,0.03967672,0.322130402,44,2022-01-30,,
100268,Active,B,1,2019-02-03,1448057248.0,16.70857143,0.020870053,0.171346178,71,2022-01-31,,
100272,Active,B,1,2019-02-03,1207995482.0,16.29655172,0.029032024,0.204271427,65,2022-02-03,,
100274,Active,B,1,2019-02-03,1906586251.0,23.95,0.071614112,0.005403401,74,2022-02-02,,
100275,Active,C,1,2019-02-03,309783638.8,10.54,0.031403181,0.364903002,42,2022-02-02,,
100276,Active,A,1,2019-02-03,2436832281.0,25.7125,0.02094968,0.170161292,83,2022-02-03,,
100277,Active,B,1,2019-02-03,1578756663.0,19.975,0.060110388,0.161948614,65,2022-02-02,,
100279,Active,B,1,2019-02-03,1623280476.0,17.30909091,0.028762757,0.03277969,87,2022-01-31,,
100280,Active,C,1,2019-02-03,562640764.2,15.22916667,0.227315968,0.0,47,2022-02-02,,
100285,Active,C,1,2019-02-03,526249595.3,14.13125,0.164264258,0.11430939,35,2022-01-29,,
100287,Active,C,1,2019-02-03,382160289.4,8.5,0.022672433,0.255429321,58,2022-01-31,,
100292,Active,C,1,2019-02-03,119482458.4,9.1375,0.071752635,0.460847182,22,2022-01-24,,
100293,Active,C,1,2019-02-03,296127622.1,7.7,0.074463104,0.370789477,36,2022-01-29,,
100295,Active,C,1,2019-02-03,324064790.4,6.403333333,0.046571734,0.066391489,63,2022-01-25,,
100296,Active,C,1,2019-02-03,255004564.0,6.2,0.0,0.105598547,33,2022-01-31,,
100297,Active,C,1,2019-02-03,60595452.84,3.825,0.0,0.460246914,15,2022-02-02,,
100298,Active,C,1,2019-02-03,20766992.4,4.675,0.0,0.0,8,2022-02-02,,
100299,Active,C,1,2019-02-03,713348228.4,8.573913043,0.037285825,0.177692947,90,2022-02-03,,
100300,Active,C,1,2019-02-03,112016566.4,12.75,0.059994163,0.008589179,8,2022-02-02,,
100301,Active,C,1,2019-02-03,152974475.0,12.24,0.154476798,0.218086204,9,2022-01-31,,
100304,Active,C,1,2019-02-03,199580363.2,10.4125,0.097741745,0.09133837,38,2022-01-31,,
100305,Active,A,1,2019-02-03,1154266286.0,17.35789474,0.046166665,0.176076189,80,2022-01-31,,
100307,Active,C,1,2019-02-03,279273611.3,8.4,0.081316298,0.477150822,35,2022-01-29,,
100315,Active,B,4,2019-02-03,378412678.4,8.688888889,0.002266597,0.267930563,49,2022-01-31,,
100317,Active,A,4,2019-02-03,758702909.5,10.46842105,0.025749987,0.057703142,78,2022-01-25,,
100320,Active,B,4,2019-02-03,478343033.3,13.75454545,0.0058744,0.028546907,27,2022-01-30,,
100321,Active,B,4,2019-02-03,280461634.9,8.731818182,0.050096302,0.184047418,44,2022-02-02,,
100322,Active,B,4,2019-02-03,183210861.5,7.4375,0.040676503,0.614476105,33,2022-02-02,,
100327,Active,A+,4,2019-02-03,1976941597.0,18.01081081,0.004297692,0.014738312,78,2022-02-03,,
100329,Active,B,4,2019-02-03,122379187.0,4.8,0.0,0.311173164,36,2022-02-02,,
100330,Active,B,4,2019-02-03,447972231.7,14.20714286,0.038184168,0.036115421,29,2022-02-02,,
100335,Active,A,1,2019-02-03,2099308431.0,16.0225,0.028066811,0.000331031,81,2022-02-03,,
100336,Active,A,1,2019-02-03,2130472431.0,30.33157895,0.012697399,0.140920398,80,2022-01-29,,
100338,Active,C,1,2019-02-03,181855267.0,5.477777778,0.130060855,0.726395514,35,2022-02-02,,
100339,Active,B,1,2019-02-03,2066331182.0,30.43809524,0.319203555,0.418358638,42,2022-02-02,,
100340,Active,A,1,2019-02-03,1133359578.0,27.04545455,0.05105412,0.144669009,42,2022-02-02,,
100345,Active,C,1,2019-02-03,134984324.3,8.5,0.177197718,0.261148306,22,2022-01-29,,
100346,Active,B,1,2019-02-03,1189661966.0,14.73333333,0.108123202,0.015475769,89,2022-02-03,,
100349,Active,B,1,2019-02-03,777401878.1,10.48333333,0.081687015,0.082400894,63,2022-01-29,,
100350,Active,B,1,2019-02-03,411480772.4,7.846153846,0.073542511,0.152005064,54,2022-01-25,,
100351,Active,A,1,2019-02-03,2117030388.0,24.956,0.04983914,0.025262743,47,2022-01-29,,
100352,Active,B,1,2019-02-03,740563327.6,13.86842105,0.199711632,0.062829485,81,2022-02-03,,
100353,Active,C,1,2019-02-03,398451509.5,7.05,0.120941348,0.518533384,72,2022-02-03,,
100355,Active,A,1,2019-02-03,1296071201.0,11.54038462,0.117348877,0.026502429,101,2022-02-03,,
100358,Active,B,1,2019-02-03,1042876754.0,14.55,0.182924773,0.104618443,71,2022-02-03,,
100359,Active,B,1,2019-02-03,588347873.6,8.378571429,0.106304164,0.074474207,85,2022-01-30,,
100361,Active,A,1,2019-02-03,1321482886.0,12.85625,0.017946748,0.074567375,94,2022-01-30,,
100362,Active,C,1,2019-02-03,91803119.28,6.516666667,0.0,0.05597296,15,2022-01-30,,
100364,Active,C,1,2019-02-03,528873084.1,19.64444444,0.032761384,0.10616442,20,2022-02-02,,
100366,Active,C,1,2019-02-03,383911609.8,10.91578947,0.010255517,0.072121364,38,2022-01-24,,
100369,Active,A,1,2019-02-03,957731996.0,16.54230769,0.005882421,0.0,53,2022-01-25,,
100375,Active,B,1,2019-02-03,1077115956.0,13.63863636,0.064206645,0.059533807,90,2022-01-29,,
100378,Active,A,1,2019-02-03,1308748347.0,14.54444444,0.080874748,0.021386106,72,2022-01-30,,
100379,Active,B,1,2019-02-03,1671810654.0,29.50714286,0.045529703,0.171070341,27,2022-01-30,,
100380,Active,C,1,2019-02-03,348448633.4,14.20714286,0.142463997,0.285071796,36,2022-01-30,,
100383,Active,B,1,2019-02-03,810462074.2,13.40384615,0.056579787,0.003365629,54,2022-01-31,,
100384,Active,B,1,2019-02-03,866808001.4,12.46666667,0.191309263,0.0,80,2022-01-29,,
100385,Active,B,1,2019-02-03,1216442898.0,11.29677419,0.0061929,0.004246493,67,2022-01-31,,
100387,Active,A+,1,2019-02-03,2891997322.0,27.2,0.040644826,0.002183446,69,2022-02-03,,
100389,Active,B,1,2019-02-03,945198605.8,15.01666667,0.108916751,0.11217474,60,2022-01-31,,
100390,Active,B,1,2019-02-03,866713126.1,9.260526316,0.182922509,0.238899775,83,2022-02-03,,
100392,Active,C,1,2019-02-03,744686851.2,17.77272727,0.015496847,0.071625154,47,2022-02-03,,
100396,Active,B,1,2019-02-03,819157125.5,14.6625,0.046510939,0.096351807,45,2022-01-30,,
100397,Active,B,1,2019-02-03,665683227.8,9.611538462,0.123786779,0.231655024,53,2022-02-02,,
100400,Active,B,1,2019-02-03,563275463.8,7.313953488,0.033208349,0.011945083,85,2022-02-02,,
100401,Active,B,1,2019-02-03,329085598.9,6.387878788,0.007494294,0.249083802,63,2022-01-31,,
100404,Active,A,1,2019-02-03,2012426400.0,22.32173913,0.369250167,0.11801108,51,2022-01-25,,
100405,Active,A+,1,2019-02-03,724675035.8,10.03,0.108293721,0.025421289,20,2022-01-31,,
100406,Active,C,1,2019-02-03,224536233.1,10.625,0.120903344,0.127814701,27,2022-01-30,,
100407,Active,B,1,2019-02-03,1852882942.0,17.374,0.197448146,0.010564894,105,2022-01-31,,
100409,Active,B,1,2019-02-03,1106229536.0,15.88285714,0.063931411,0.470973699,67,2022-02-02,,
100410,Active,B,1,2019-02-03,1308512322.0,18.04615385,0.195416168,0.119316036,56,2022-01-30,,
100414,Active,B,1,2019-02-03,1872338750.0,21.37142857,0.105792739,0.437976109,56,2022-01-31,,
100415,Active,C,1,2019-02-03,960000792.1,15.57567568,0.052518439,0.612050495,80,2022-01-29,,
100417,Active,B,1,2019-02-03,1506396007.0,22.28888889,0.163391634,0.577636217,56,2022-01-30,,
100421,Active,B,1,2019-02-03,781863213.4,24.225,0.011368696,0.344667657,33,2022-02-02,,
